id,user_name,created_at,text,trendings
1123983568500400129,me_idy,2019-05-02 16:12:19,"#SemogaPuasaTahunIni 
nggak sendiri lagi..

Tapi, itu cuma ekspetasi 😕

Kenyataannya...

Masih JOMBLO!! https://t.co/3TcbJrO8M4",#SemogaPuasaTahunIni
1123983419283845125,robbseptiants,2019-05-02 16:11:44,"#SemogaPuasaTahunIni bisa tahan godaan dari orng², liar, nakal, brutal membuat orang menjadi gempar.",#SemogaPuasaTahunIni
1123983321787195393,natamiayunda,2019-05-02 16:11:21,RT @gryprmna: #SemogaPuasaTahunIni kaga mikirin people we can't have terooos,#SemogaPuasaTahunIni
1123983291210539008,AlFathirAU__,2019-05-02 16:11:13,"#SemogaPuasaTahunIni disehatkan mental dan jasmani, berubah sedikit ke arah yang lebih baik. Aaminn",#SemogaPuasaTahunIni
1123983249364090881,Feriikrnwn_,2019-05-02 16:11:03,#SemogaPuasaTahunIni bukber nya ga wacana semuaa,#SemogaPuasaTahunIni
1123983167424278530,amimidun,2019-05-02 16:10:44,#SemogaPuasaTahunIni #AlasanTetapHidup #BucinWowoCaper #DiskualifikasiYangCurang #TNIPolriJagaIndonesia… https://t.co/4VpRl5UIYN,#SemogaPuasaTahunIni
1123982902260379655,RifdahFatin,2019-05-02 16:09:41,"RT @septianiephie: #SemogaPuasaTahunIni aku bisa sepenuhnya hafalin surat

1. Al-Zalzalah
2. Al-'Adiyat
3. Al-Bayyinah
4. Al-'Alaq
5. Asy-S…",#SemogaPuasaTahunIni
1123982843414237184,88kang_luq,2019-05-02 16:09:27,#SemogaPuasaTahunIni presiden nya baru...,#SemogaPuasaTahunIni
1123982552962936841,oom_gondlong,2019-05-02 16:08:17,Gak banyak yang godain pake granita sama ngajakin ke tempat yang ada gorden gantung nya #SemogaPuasaTahunIni,#SemogaPuasaTahunIni
1123982256299827200,Muhamma99729720,2019-05-02 16:07:07,"#SemogaPuasaTahunIni bisa menyempurnakan agama bersama Dia Aamiin
#aminindonk",#SemogaPuasaTahunIni
1123982256157097984,bangdani1993,2019-05-02 16:07:07,"#SemogaPuasaTahunIni lupa sama kamu, bersikap bodo amat sekalipun kamu senyum paling manispun.... aamiin 🙏🏼",#SemogaPuasaTahunIni
1123982246543798272,Yeyen302,2019-05-02 16:07:04,"#SemogaPuasaTahunIni yang disemogakan segera tersemogakan
Aamiin.",#SemogaPuasaTahunIni
1123982168097742848,intnwidi,2019-05-02 16:06:46,#SemogaPuasaTahunIni Dipanjangkan umurnya disehatkan jasmani rohaninya diberkahi semua amalan dan ibadahnya disucik… https://t.co/7KXlpbPiqv,#SemogaPuasaTahunIni
1123982098719809537,karinatrisha_,2019-05-02 16:06:29,#SemogaPuasaTahunIni bisa lebi banyak godain orang buat batal puasa :),#SemogaPuasaTahunIni
1123981987667169280,melliyana_memey,2019-05-02 16:06:03,"#SemogaPuasaTahunIni kalo beli kolak pisang modelnya gak kaya aer hujan, encer beud kek gak pake santen 🙈",#SemogaPuasaTahunIni
1123981946357460993,utama_aldhi,2019-05-02 16:05:53,#SemogaPuasaTahunIni dapet takjil gratis selama sebulan penuh.,#SemogaPuasaTahunIni
1123981881429692418,mbambarumahan,2019-05-02 16:05:37,"#SemogaPuasaTahunIni lebaran nya gak ditanya ""Kapan nikah?"" Itu sangat menyebalkan bung",#SemogaPuasaTahunIni
1123981864803479561,ramaryani_,2019-05-02 16:05:33,#SemogaPuasaTahunIni ada dua garis merah di tespack ya pak @IDikri21 biar si kakak ada temennya ❤️ https://t.co/4kQMRvmj2A,#SemogaPuasaTahunIni
1123981817101594624,ketiknamague,2019-05-02 16:05:22,"Pengen ikutan ngetwit, tapi aku Kristen 
 #SemogaPuasaTahunIni",#SemogaPuasaTahunIni
1123981770540683264,ilhamfadhly,2019-05-02 16:05:11,#SemogaPuasaTahunIni dijauhkan dari ojol yang naik motor pelan sambil main hape 🙃,#SemogaPuasaTahunIni
1123981529385000961,pen_sas,2019-05-02 16:04:13,"#SemogaPuasaTahunIni bersih dari tudingan-tudingan, ujaran-ujaran, juga fitnah-fitnah karena beda pilihan capres...",#SemogaPuasaTahunIni
1123981509172633600,Sipaa21628487,2019-05-02 16:04:09,RT @IklimaSandra: #SemogaPuasaTahunIni terhindar dari godaan syaiton yang berwujud manusia yg suka bisikin bukber disiang bolong,#SemogaPuasaTahunIni
1123981437311565825,Sumarih2,2019-05-02 16:03:51,Lontong bakwan masih seribuan harganya #SemogaPuasaTahunIni,#SemogaPuasaTahunIni
1123981392600358912,nilakusumasr,2019-05-02 16:03:41,RT @rizcyuda: #SemogaPuasaTahunIni THR nya double double😅😅,#SemogaPuasaTahunIni
1123981347457048578,melliyana_memey,2019-05-02 16:03:30,"#SemogaPuasaTahunIni gak ketelatan sahur, trus jadi alasan yg haqiqi buat buka tengah hari 😅",#SemogaPuasaTahunIni
1123981224765214721,aryasudarta,2019-05-02 16:03:01,"#SemogaPuasaTahunIni sirup marjan kelurin rasa baru.
Bosen anying itu itu mulu",#SemogaPuasaTahunIni
1123981171606601728,fazmalika,2019-05-02 16:02:48,RT @rizcyuda: #SemogaPuasaTahunIni THR nya double double😅😅,#SemogaPuasaTahunIni
1123981115302273024,Sipaa21628487,2019-05-02 16:02:35,"RT @yogaafnd: #SemogaPuasaTahunIni
Bumi damai....

Tapi bohong hiya hiya hiya

Karena saya suka konflik...",#SemogaPuasaTahunIni
1123980830320332800,utama_aldhi,2019-05-02 16:01:27,#SemogaPuasaTahunIni iklan Marjan ngga bersambung cape digantung pas bulan puasa.,#SemogaPuasaTahunIni
1123980788352024583,IndraGunners16,2019-05-02 16:01:17,#SemogaPuasaTahunIni bisa sidang,#SemogaPuasaTahunIni
1123980710862315523,anatasyaprd,2019-05-02 16:00:58,"#SemogaPuasaTahunIni buciners tydack make snap di spam sm doi buat saur dahal posisi hp silent/airplane mode:"")",#SemogaPuasaTahunIni
1123980581828796417,Apreldandelion,2019-05-02 16:00:27,#SemogaPuasaTahunIni bersamamu penuh keberkahan 💙,#SemogaPuasaTahunIni
1123980571041062913,agan_apep,2019-05-02 16:00:25,"Malem jum'at terakhir di bulan sya'ban,,malem jum'at depan udah di bulan Ramadhan,,#SemogaPuasaTahunIni lancar dan berkah....Amiiiin",#SemogaPuasaTahunIni
1123980238701121536,iyanradiant,2019-05-02 15:59:06,#SemogaPuasaTahunIni gak ada temen bank cat yang minta anterin ke warkop siang2,#SemogaPuasaTahunIni
1123979814640209922,Lallaan,2019-05-02 15:57:25,"#SemogaPuasaTahunIni dapat mengendalikan kelaperan, kebaperan, kecaperan, kecapean dan kekepoan.",#SemogaPuasaTahunIni
1123979558842138626,SIDbim,2019-05-02 15:56:24,"RT @cimolgoreng_: #SemogaPuasaTahunIni
Gak cabut sholat tarweh dipertengahan rokaat:3",#SemogaPuasaTahunIni
1123979390709305344,palarjati,2019-05-02 15:55:43,#SemogaPuasaTahunIni puasa full meski cuma ngimpi :v,#SemogaPuasaTahunIni
1123979386200436736,amimidun,2019-05-02 15:55:42,#SemogaPuasaTahunIni #AlasanTetapHidup #BucinWowoCaper #DiskualifikasiYangCurang #TNIPolriJagaIndonesia #memetwit… https://t.co/mGrBmLupHO,#SemogaPuasaTahunIni
1123979086588727303,feripriyadi73,2019-05-02 15:54:31,#SemogaPuasaTahunIni sehat wallafiat,#SemogaPuasaTahunIni
1123978893562667008,afiafifahna,2019-05-02 15:53:45,#SemogaPuasaTahunIni gak ada yg bolong wkwkwk,#SemogaPuasaTahunIni
1123978838097178624,dewydedew,2019-05-02 15:53:32,#SemogaPuasaTahunIni masih sama sama dia sampe lebaran sampe terus terus dan terus😇,#SemogaPuasaTahunIni
1123978760250851328,TiaraEnv,2019-05-02 15:53:13,#SemogaPuasaTahunIni semakin terang benderang arah hati ini dibawa kemana dan jodoh akan segera datang di malam ke 29..aamiin.,#SemogaPuasaTahunIni
1123978757063282690,pakcilek,2019-05-02 15:53:12,#SemogaPuasaTahunIni dapat sk pindah ke jawa,#SemogaPuasaTahunIni
1123978610883420168,norinose,2019-05-02 15:52:38,#SemogaPuasaTahunIni diselamatkan dari pindah tempat setelah beres makan bukber.,#SemogaPuasaTahunIni
1123978597235081220,srardiana,2019-05-02 15:52:34,#SemogaPuasaTahunIni bisa nahan godaan ajakan bukber dari mantan.,#SemogaPuasaTahunIni
1123978573654708224,fchMorules96,2019-05-02 15:52:29,#SemogaPuasaTahunIni Ora misuh misuh yen barang ketlisut,#SemogaPuasaTahunIni
1123978117545066496,kkoooze,2019-05-02 15:50:40,"#SemogaPuasaTahunIni bisa khatam an Qur'an, one day one juz. Aamiin",#SemogaPuasaTahunIni
1123978078701719554,AlfianaLizna,2019-05-02 15:50:31,Bisa fokus ibadah dan menambah keberkahan dalam hidup 😇#SemogaPuasaTahunIni,#SemogaPuasaTahunIni
1123977974401970179,naewlaa,2019-05-02 15:50:06,RT @rizcyuda: #SemogaPuasaTahunIni THR nya double double😅😅,#SemogaPuasaTahunIni
1123977883821670402,Mila93527279,2019-05-02 15:49:44,"Dicari Takmir Masjid yang Masih Produktif 

https://t.co/rw2cVPe1Kj

#SemogaPuasaTahunIni 
#JumatBerkah",#SemogaPuasaTahunIni
1123977614606180352,Ardhalaks,2019-05-02 15:48:40,"Alhamdulillah, selama bulan puasa nanti mojorayung cuma libur 3 hari

#SemogaPuasaTahunIni",#SemogaPuasaTahunIni
1123977443897958401,adiati2202,2019-05-02 15:47:59,#SemogaPuasaTahunIni tidak tahun lalu apalagi lalu lagi,#SemogaPuasaTahunIni
1123977399840989187,Imam_afandi48,2019-05-02 15:47:49,"#SemogaPuasaTahunIni
Khatam Al Qur'an 30 juz dan lebih baik dari sebelumnya. Aamiin",#SemogaPuasaTahunIni
1123977362570457088,melliyana_memey,2019-05-02 15:47:40,#SemogaPuasaTahunIni gak usah ngantri buat minta tanda tangan imam taraweh di buku Rhamadhan,#SemogaPuasaTahunIni
1123977289581068290,apiem_,2019-05-02 15:47:22,"#SemogaPuasaTahunIni gak ada lagi yang siang bolong ngajak ke warteg apa beli es diem diem, karna temen temen pada kerja",#SemogaPuasaTahunIni
1123977280664084480,MuhammadNaofal7,2019-05-02 15:47:20,"Di bulan puasa itu yg paling sulit jaga ucapan dari pada puasanya sendiri 😅😅😅
#SemogaPuasaTahunIni",#SemogaPuasaTahunIni
1123977233708855296,Mall96069241,2019-05-02 15:47:09,#SemogaPuasaTahunIni kalo Dateng bulan jangan di jam jam 17.45.  Itu udah mepet banget Astagfirullahh :'),#SemogaPuasaTahunIni
1123977099734388738,nisafarkhat_,2019-05-02 15:46:37,#SemogaPuasaTahunIni bisa lebih banyak waktu buat family time 💛,#SemogaPuasaTahunIni
1123976806451896320,DHaerunissa,2019-05-02 15:45:27,#semogapuasatahunini gaada lagi es teajus yang berkeliaran,#SemogaPuasaTahunIni
1123976574079045634,darmawanpro,2019-05-02 15:44:32,#SemogaPuasaTahunIni gak jomblo..,#SemogaPuasaTahunIni
1123976206523748352,dktmzktks,2019-05-02 15:43:04,#SemogaPuasaTahunIni lancar dan bahagia,#SemogaPuasaTahunIni
